Case,MayHBC,Species,Avg.Sp.Mass.g,Family,Age,Sex,Location,Disposition,Treatment.Time,Year,Season,Facility,RhbFund,Stunned.Shock,Lethargy.Weak,Concussion,Unconscious,WingFracture,Back.Spine.neck.Injury,LegFracture,Eye.Injury,Beak.Mouth.Injury,Skull.Fracture,Head.Trauma,PunctureWound,Bruising.Swelling,PelvicInjury,CoracoidFracture,Emaciated.Dehydrated,InternalBleeding,Animal.Attack.Too,Neurological,NerveDamage,Grasping.leg.impairment,BalanceIssues,UnableToFly,RespiratoryDistress,Paralysis,Infection.Sick.Parasites,Hypothermia,0.HNBN,0.WLL,0.TAB,0.UNS
2692,F,SCTA,30.5,Cardinalidae,Unknown,Unknown,"Bear, DE",Died,0,2019,Spring,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2693,F,COGR,108,Icteridae,Unknown,Unknown,"Elkton, MD",Died,0,2019,Spring,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2694,F,HAWO,67.5,Picidae,Unknown,Unknown,"Kennett Square, PA",Euthanized,0,2019,Spring,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2695,F,COGR,108,Icteridae,Unknown,Unknown,"Wilmington, DE",Released,16,2019,Summer,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2696,F,RTHU,4,Trochilidae,Unknown,Unknown,"Newark, DE",Released,0,2019,Summer,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2697,F,MODO,133,Columbidae,Unknown,Unknown,"Lewes, DE",Released,12,2019,Summer,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2698,F,COGR,108,Icteridae,Unknown,Unknown,"Georgetown, DE",Dead on Arrival,0,2019,Summer,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2699,F,BLJA,85,Corvidae,Unknown,Unknown,"Chadds Ford, PA",Died,1,2019,Summer,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2700,F,PIWO,300,Picidae,Unknown,Unknown,"Kennett Square, PA",Euthanized,22,2019,Summer,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2701,F,MODO,133,Columbidae,Unknown,Unknown,"Oxford, PA",Euthanized,1,2019,Summer,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2702,F,GRCA,39.9,Mimidae,Unknown,Unknown,"Landenberg, PA",Euthanized,2,2019,Summer,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2703,F,BARS,18.5,Hirundinidae,Unknown,Unknown,"Georgetown, DE",Euthanized,3,2019,Summer,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2704,F,AMRO,81,Turdidae,Unknown,Unknown,"Wilmington, DE",Released,11,2019,Summer,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2705,F,COGR,108,Icteridae,Unknown,Unknown,"Kennett Square, PA",Euthanized,6,2019,Summer,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2706,F,COGR,108,Icteridae,Unknown,Unknown,"Newark, DE",Euthanized,0,2019,Summer,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2707,F,COGR,108,Icteridae,Unknown,Unknown,"Kennett Square, PA",Euthanized,4,2019,Summer,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2708,F,AMRO,81,Turdidae,Unknown,Unknown,"Morton, PA",Euthanized,0,2019,Summer,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2709,F,WOTH,45,Turdidae,Unknown,Unknown,"Wilmington, DE",Euthanized,0,2019,Summer,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2710,F,RTHU,4,Trochilidae,Unknown,Unknown,"Conestoga, PA",Euthanized,2,2019,Summer,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2711,F,OVEN,22,Parulidae,Unknown,Unknown,"Newark, DE",Dead on Arrival,0,2019,Summer,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2712,F,RBWO,73.5,Picidae,Unknown,Unknown,"Coatesville, PA",Euthanized,0,2019,Summer,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2713,F,YSFL,135,Picidae,Unknown,Unknown,"Wilmington, DE",Euthanized,0,2019,Summer,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2714,F,MODO,133,Columbidae,Unknown,Unknown,"Wilmington, DE",Dead on Arrival,0,2019,Summer,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2715,F,BARS,18.5,Hirundinidae,Unknown,Unknown,"Milton, DE",Euthanized,2,2019,Summer,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2716,F,COHA,410,Accipitridae,Unknown,Unknown,"Berlin, MD",Died,1,2019,Summer,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2717,F,RBWO,73.5,Picidae,Unknown,Unknown,"Dover, DE",Euthanized,0,2019,Summer,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2718,F,GRCA,39.9,Mimidae,Unknown,Unknown,"Booth's Corner, PA",Released,0,2019,Summer,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2719,F,BHCO,46,Icteridae,Unknown,Unknown,"Newark, DE",Euthanized,0,2019,Summer,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2720,F,AMGO,15.5,Fringillidae,Unknown,Unknown,"Wilmington, DE",Died,1,2019,Summer,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2721,F,AMRO,81,Turdidae,Unknown,Unknown,"Wilmington, DE",Released,8,2019,Summer,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2722,F,CHSP,13.5,Passerellidae,Unknown,Unknown,"West Chester, PA",Euthanized,0,2019,Summer,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2723,F,GRCA,39.9,Mimidae,Unknown,Unknown,"Wilmington, DE",Released,3,2019,Summer,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2724,F,GRCA,39.9,Mimidae,Unknown,Unknown,"Glen Mills, PA",Died,1,2019,Summer,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2725,F,MODO,133,Columbidae,Unknown,Unknown,"Wilmington, DE",Euthanized,3,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2726,F,EAWP,15.5,Tyrannidae,Unknown,Unknown,"Elkton, MD",Euthanized,2,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2727,F,BHCO,46,Icteridae,Unknown,Unknown,"Avondale, PA",Euthanized,10,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2728,F,GRCA,39.9,Mimidae,Unknown,Unknown,"Hockessin, DE",Died,0,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2729,F,GRCA,39.9,Mimidae,Unknown,Unknown,"Newark, DE",Died,2,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2730,F,MODO,133,Columbidae,Unknown,Unknown,"Wayne, PA",Dead on Arrival,0,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2731,F,GRCA,39.9,Mimidae,Unknown,Unknown,"Unknown, MD",Euthanized,2,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2732,F,HOFI,21.5,Fringillidae,Unknown,Unknown,"Rehoboth Beach, DE",Euthanized,0,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2733,F,BWWA,9,Parulidae,Unknown,Unknown,"Wilmington, DE",Euthanized,1,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2734,F,GRCA,39.9,Mimidae,Unknown,Unknown,"Hockessin, DE",Euthanized,1,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2735,F,BHCO,46,Icteridae,Unknown,Unknown,"Lewes, DE",Euthanized,0,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2736,F,AMGO,15.5,Fringillidae,Unknown,Unknown,"Avondale, PA",Euthanized,0,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2737,F,CANG,6000,Anatidae,Unknown,Unknown,"Bear, DE",Released,14,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2738,F,INBU,15,Cardinalidae,Unknown,Unknown,"Georgetown, DE",Released,4,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2739,F,COHA,410,Accipitridae,Unknown,Unknown,"Newark, DE",Euthanized,2,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2740,F,NOCA,45,Cardinalidae,Unknown,Unknown,"Wilmington, DE",Euthanized,1,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2741,F,GRCA,39.9,Mimidae,Unknown,Unknown,"Newark, DE",Euthanized,1,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2742,F,TUTI,22,Paridae,Unknown,Unknown,"Frankford, DE",Euthanized,1,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2743,F,AMRO,81,Turdidae,Unknown,Unknown,"West Chester, PA",Released,8,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2744,F,YSFL,135,Picidae,Unknown,Unknown,"Bryn Mawr, PA",Released,0,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2745,F,NOCA,45,Cardinalidae,Unknown,Unknown,"Newark, DE",Released,21,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2746,F,GRCA,39.9,Mimidae,Unknown,Unknown,"West Chester, PA",Released,1,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2747,F,YEWA,10,Parulidae,Unknown,Unknown,"Media, PA",Released,1,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2748,F,RTHU,4,Trochilidae,Unknown,Unknown,"Wilmington, DE",Released,0,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2749,F,SWTH,34,Turdidae,Unknown,Unknown,"Hockessin, DE",Euthanized,8,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2750,F,COHA,410,Accipitridae,Unknown,Unknown,"Washington, DC",Released,39,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2751,F,BLGR,28.5,Cardinalidae,Unknown,Unknown,"Newark, DE",Released,0,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2752,F,GRCA,39.9,Mimidae,Unknown,Unknown,"Wilmington, DE",Euthanized,0,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2753,F,AMGO,15.5,Fringillidae,Unknown,Unknown,"newark, DE",Released,0,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2754,F,VIRA,80,Rallidae,Unknown,Unknown,"Philadelphia, PA",Released,2,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2755,F,AMRO,81,Turdidae,Unknown,Unknown,"Stevensville, MD",Euthanized,1,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2756,F,COYE,9.5,Parulidae,Unknown,Unknown,"Newark, DE",Released,0,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2757,F,MODO,133,Columbidae,Unknown,Unknown,"Coatesville, PA",Euthanized,3,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2758,F,COHA,410,Accipitridae,Unknown,Unknown,"Philadelphia, PA",Euthanized,0,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2759,F,BEKI,155,Alcedinidae,Unknown,Unknown,"Philadelphia, PA",Euthanized,6,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2760,F,OVEN,22,Parulidae,Unknown,Unknown,"Bear, DE",Euthanized,0,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2761,F,OVEN,22,Parulidae,Unknown,Unknown,"Elkton, MD",Released,4,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2762,F,GRCA,39.9,Mimidae,Unknown,Unknown,"Pocono Summit, PA",Euthanized,3,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2763,F,SWTH,34,Turdidae,Unknown,Unknown,"Hockessin, DE",Released,4,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2764,F,HOFI,21.5,Fringillidae,Unknown,Unknown,"Wilmington, DE",Released,1,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2765,F,TEWA,9,Parulidae,Unknown,Unknown,"Wilmington, DE",Euthanized,1,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2766,F,COYE,9.5,Parulidae,Unknown,Unknown,"Newark, DE",Released,2,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2767,F,AMRO,81,Turdidae,Unknown,Unknown,"Wilmington, DE",Released,0,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2768,F,EAWP,15.5,Tyrannidae,Unknown,Unknown,"Newark, DE",Euthanized,1,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2769,F,VIRA,80,Rallidae,Unknown,Unknown,"Dover, DE",Euthanized,3,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2770,F,GRCA,39.9,Mimidae,Unknown,Unknown,"Elkton, MD",Euthanized,1,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2771,F,YRWA,12.5,Parulidae,Unknown,Unknown,"Hockessin, DE",Died,0,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2772,F,YSFL,135,Picidae,Unknown,Unknown,"West Chester, PA",Euthanized,8,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2773,F,YBSA,49,Picidae,Unknown,Unknown,"Plymouth Meeting, PA",Euthanized,0,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2774,F,WTSP,27,Passerellidae,Unknown,Unknown,"Wilmington, DE",Died,1,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2775,F,PEFA,1065,Falconidae,Unknown,Unknown,"Atlantic City, NJ",Euthanized,1,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2776,F,BEKI,155,Alcedinidae,Unknown,Unknown,"Manhattan, NY",Euthanized,13,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2777,F,COHA,410,Accipitridae,Unknown,Unknown,"Berlin, MD",Euthanized,0,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2778,F,OVEN,22,Parulidae,Unknown,Unknown,"Parkesburg, PA",Euthanized,1,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2779,F,AMGO,15.5,Fringillidae,Unknown,Unknown,"Middletown, DE",Released,5,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2780,F,HETH,30,Turdidae,Unknown,Unknown,"Wilmington, DE",Released,2,2019,Fall,Organization,1322376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
